Cohort Year,School,Conference,Sport,State,GSR,FGR
2014,University of Tennessee at Martin,Ohio Valley Conference,Football,TN,67,55
2014,"Texas A&M University, College Station",Southeastern Conference,Football,TX,74,54
2014,Texas Christian University,Big 12 Conference,Football,TX,70,57
2014,Texas Southern University,Southwestern Athletic Conf.,Football,TX,82,56
2014,Texas Tech University,Big 12 Conference,Football,TX,76,52
2014,University of Texas at Austin,Big 12 Conference,Football,TX,79,62
2014,University of Texas at El Paso,Conference USA,Football,TX,85,63
2014,University of Texas at San Antonio,Conference USA,Football,TX,83,62
2014,University of Toledo,Mid-American Conference,Football,OH,87,67
2014,Towson University,Colonial Athletic Association,Football,MD,88,68
2014,Troy University,Sun Belt Conference,Football,AL,80,65
2014,Tulane University,American Athletic Conference,Football,LA,87,76
2014,The University of Tulsa,American Athletic Conference,Football,OK,69,64
2014,U.S. Air Force Academy,Mountain West Conference,Football,CO,89,
2014,U.S. Military Academy,Independent,Football,NY,71,
2014,U.S. Naval Academy,American Athletic Conference,Football,MD,89,
2014,Utah State University,Mountain West Conference,Football,UT,89,68
2014,University of Utah,Pac-12 Conference,Football,UT,90,69
2014,Valparaiso University,Pioneer Football League,Football,IN,83,
2014,Vanderbilt University,Southeastern Conference,Football,TN,95,77
2014,Villanova University,Colonial Athletic Association,Football,PA,95,95
2014,Virginia Military Institute,Southern Conference,Football,VA,87,70
2014,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Football,VA,80,68
2014,University of Virginia,Atlantic Coast Conference,Football,VA,86,71
2014,Wagner College,Northeast Conference,Football,NY,85,77
2014,Wake Forest University,Atlantic Coast Conference,Football,NC,89,75
2014,Washington State University,Pac-12 Conference,Football,WA,85,56
2014,University of Washington,Pac-12 Conference,Football,WA,85,56
2014,Weber State University,Big Sky Conference,Football,UT,56,33
2014,West Virginia University,Big 12 Conference,Football,WV,74,60
2014,Western Carolina University,Southern Conference,Football,NC,87,74
2014,Western Illinois University,Missouri Valley Football Conference,Football,IL,80,63
2014,Western Kentucky University,Conference USA,Football,KY,74,57
2014,Western Michigan University,Mid-American Conference,Football,MI,74,40
2014,William & Mary,Colonial Athletic Association,Football,VA,72,69
2014,University of Wisconsin-Madison,Big Ten Conference,Football,WI,90,81
2014,University of Wyoming,Mountain West Conference,Football,WY,87,52
2014,Yale University,The Ivy League,Football,CT,98,
2014,Youngstown State University,Missouri Valley Football Conference,Football,OH,66,46
2014,University of Central Arkansas,Southland Conference,Football,AR,76,60
2014,Elon University,Colonial Athletic Association,Football,NC,98,83
2014,Gardner-Webb University,Big South Conference,Football,NC,78,63
2014,Kennesaw State University,Big South Conference,Football,GA,71,62
2014,Presbyterian College,Independent,Football,SC,82,66
2014,Tarleton State University,Independent,Football,TX,50,45
2014,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,Football,AR,68,44
2014,University of the Incarnate Word,Southland Conference,Football,TX,83,63
2014,Wofford College,Southern Conference,Football,SC,92,81
2014,Utah Tech University,Independent,Football,UT,49,28
